"Name","Country","Traveler Type","Score","Score Explanation","Date","Pros","Cons","Response","Pros Original","Cons Original","Response Original"
"Konstanze","Germany","Couple","8.3","Empfehlung","2 September 2014","Situation, idea, execution","","","Lage, Idee, Ausführung","","",
"Jolanta","Germany","Group of friends","9.2","Besonders nette Service","2 September 2014","All","","","Alles","","",
"Elena","Germany","Couple","7.9","Wir waren zufrieden","1 September 2014","The design of the hotel, the location, toiletries, complimentary tea and coffee making facilities, excellent price-performance ratio","Size bed in our room - 1.40 m; our family friends the other hand, had a 1.80m bed with the same booking.","","Das Design des Hotels, die Lage, Pflegeprodukte, kostenlose Tee- und Kaffeezubereitungsmöglichkeit, sehr gutes Preis-Leistungsverhältnis","Bettgröße in unserem Zimmer - 1,40m; unsere befreundete Familie hatte dagegen bei gleicher Buchung ein 1,80m Bett.","",
"Vincenzo","Italy","Couple","9.2","Very good","31 August 2014","Good hotel","","","Good hotel","","",
"Alexander","Denmark","Couple","8.8","value for money opnået til over forventning","26 August 2014","Not as such some objections","","","Ikke som sådan nogle klagepunkter","","",
"Manuel","Germany","Couple","9.2","Super Hotel mit super Zimmern","23 August 2014","Large spacious room with a great bathroom and large bed
Get a kettle, tea and cocoa fresh daily, comfortable bed and nice view at sunset.
Stylish rooms for art lovers
New hotel","","","Großes, geräumiges Zimmer mit tollem Bad und großer Couch
Wasserkocher, Tee und Kakao täglich frisch bekommen, gemütliches Bett und schöner Ausblick bei Sonnenuntergang. 
Stilvolle Zimmer für Kunstliebhaber
Neues Hotel","","",
"Yury","Russia","Family","7.9","Скромное обаяние буржуазии","19 August 2014","Peace and quiet and location, discreet and experienced staff","A small double bed, a small room, the water poured out of the shower the whole bathroom and did not dry out, there is no towel warmer","","Покой, тишина и месторасположение, ненавязчивый и опытный персонал","Маленькая двуспальная кровать, маленький номер, вода из душа разливается на весь санузел и долго не высыхает, нет полотенцесушителя","",
"Anton","Germany","Group of friends","5.8","Okay","18 August 2014","The hotel's location.","Cleanliness of toilets and breakfast room","","Die Hotellage.","Sauberkeit der Toiletten und Frühstücksraum","",
"Marek","Poland","Couple","7.1","Good","18 August 2014","The rooms, interesting design, well-lit bathroom","The problem was with the cleaning. Every time, or glasses, glasses and cups were not washed, or coffee and tea is not completed, or garbage is not taken out of the room. Seemingly small things, but it 4 stars","","Wystrój pokoi, ciekawy design, dobrze oświetlona łazienka","Kłopot był ze sprzątaniem. Za każdym razem, albo szklanki, kieliszki i kubki były nie umyte, albo kawa i herbata nie uzupełnione, albo śmieci nie zabrane z pokoju. Niby drobiazgi, ale to 4 gwiazdki","",
"Ingrid","Germany","Solo traveller","7.5","Good","14 August 2014","friendliness","","","la gentillesse du personnel","","",
"Daniel","Germany","Couple","8.3","art'otel","12 August 2014","Very good location","Not a big mirror","","Sehr gute Lage","Kein großer Spiegel","",
"Rahel","Switzerland","Group of friends","9.2","Superb","10 August 2014","award, receiving","nothing","","preis,empfang","nichts","",
"Nasreddine","Tunisia","Couple","10","Meilleur rapport qualité/prix","5 August 2014","Smiling and helpful staff
- Beautifully decorated room
- Spacious and clean
- Good quality / price ratio
- Location
- Availability of public transport (metro station 200 m)","",""," Personnel souriant et serviable
- chambre joliment décorée
- Chambre spacieuse et propre
- Bon rapport qualité/prix
- Situation géographique
- disponibilité des transports en commun (station métro à 200 m)","","",
"Anette","Germany","Couple","10","Alles perfekt!","5 August 2014","Super centrally located, beautifully styled by City hotel. Friendly, professional staff, the rooms were fresh and like new, very good mattress, minibar, flat screen, everything is perfect ... and the Warhol-style runs through the whole house. We would definitely come back!","","Dear Anette, thank you that you were our guest and with joy we see that we could be completely designed to meet your expectations. We look forward to your next visit.","Superzentral gelegenes, schön durchgestyltes City-Hotel. Freundliches, kompetentes Personal, die Zimmer waren frisch und wie neu, eine sehr gute Matratze, Minibar, Flachbild, alles perfekt... und der Warhol-Style zieht sich durchs ganze Haus. Wir kommen gerne wieder!","","Sehr geehrte Frau Anette, vielen Dank dass Sie unser Gast waren und mit Freude sehen wir, dass wir Ihre Erwartungen komplett gerecht werden konnten. Wir freuen uns schon auf Ihren nächsten Besuch.",
"Roman","Czech Republic","Couple","8.3","Pohodový pobyt","5 August 2014","Located in the city center
- Clean, although a little smaller room
- Good quality, good bed
- Perfect and rich breakfast (on site we were given a voucher for a discounted breakfast for 9.90 euros)","impossibility of parking in the hotel (you can park on the street or in the adjacent covered parking for 15 Euro / day)
- Windows to the street / noise",""," umístění hotelu v centru města
- čistý, i když trochu menší pokoj
- kvalitní, dobrá postel
- perfektní a bohatá snídaně (na místě jsme dostali voucher na zlevněnou snídani za 9,90 EUR)"," nemožnost parkování v hotelu (možné parkování na ulici nebo ve vedlejším krytém parkovišti za 15,-EUR/den)
- okna na ulici/hlučnost","",
"Dirk","Germany","Couple","10","Sehr gutes , sehr Zentrales Hotel in Berlin
Sehr gutes Hotel in Berlin","2 August 2014","Reception, facilities, services, location, everything was very well air-conditioned room 1A
!!!! Highly recommended","too little hanger for example. Bath towels","","Empfang, Ausstattung, Service, Lage, alles sehr gut, klimatisiertes Zimmer 1A
Sehr empfehlenswert !!!!","zu wenig Aufhänger für zB. Duschhandtücher","",
"Helmut","Germany","Solo traveller","8.8","Ein sehr empfehlenswertes Hotel mit Flair","30 July 2014","The logical structure of the breakfast and the courteous and very friendly staff.","","Dear Helmut, thank you very much that you were our guest, and have taken on an evaluation of our performance time. We are pleased to have you completely satisfied with the location, cleanliness and our staff. We hope you visit us again very soon.","Der logische Aufbau des Frühstücks und das zuvorkommende und sehr freundliche Personal.","","Sehr geehrter Herr Helmut, recht herzlichen Dank dass Sie unser Gast waren und sich die Zeit zu einer Beurteilung unserer Leistungen genommen haben. Es freut uns, Sie mit der Lage, der Sauberkeit und unseren Mitarbeitern vollständig überzeugt zu haben. Wir hoffen, Sie besuchen uns sehr bald wieder.",
"Lorenzo","Mexico","Family","7.9","En general buena opción","30 July 2014","In general aspects I found a good hotel, good location, friendly and helpful staff.","He never served the air conditioning","","En aspectos generales me pareció un buen hotel, buena ubicación, personal agradable y atento.","Nunca sirvió el aire acondicionado","",
"uly76","Italy","Couple","6.3","Buon rapporto qualità prezzo","27 July 2014","good value for money. Overall a good hotel","A receptionist at our arrival was very friendly and helpful, pretending not to understand that even though our English is usually questionable .... intuito.In room was missing towels for one person. The double bed consisted of two single beds pushed together. The pillows excessively high.","","buon rapporto qualità prezzo . Nel complesso un buon albergo","Una addetta alla reception al ns arrivo è stata poco gentile  e disponibile facendo finta di non capire il ns inglese che se anche discutibile.... di solito viene intuito.In camera mancavano i teli per una persona. Il letto matrimoniale era composto da due letti singoli uniti. I cuscini eccessivamente alti.","",
"Bernhard","Germany","Couple","10","Exceptional","26 July 2014","The successful design of the rooms,
We will also visit other artótels eg Dresden","Breakfast is very basic","Dear Bernhard, Thank you for your so positive assessment. We are pleased to have convinced you of our achievements and thank you also for your feedback regarding our breakfast. We are glad to share your view with our team.","Die gelungene Gestaltung der Zimmer,
wir werden auch andere artótels zb Dresden besuchen","Frühstück ist sehr einfach","Sehr geehrter Herr Bernhard, vielen Dank für Ihre so positive Beurteilung. Es freut uns, Sie von unseren Leistungen überzeugt zu haben und bedanken uns auch für Ihre Rückmeldung zu unserem Frühstück. Gern teilen wir Ihre Einschätzung mit unserem Team.",
"Maria","Italy","Couple","8.3","Very good","24 July 2014","It 'easy to get around on foot and by public transport. E 'close to the main shopping streets. The toiletries and coffee and teas courtesy,","The bed for one and a half to double!","","E' facile muoversi a piedi e con i mezzi pubblici. E' vicino alle grandi arterie commerciali. I set da bagno ed il caffè e le tisane di cortesia,","Il letto ad una piazza e mezza per la doppia!","",
"Günther","Germany","Couple","9","Angenehm anders","22 July 2014","Environment","","Dear Mr Günther, thank you for your positive review of your stay with us. We are pleased to have you completely convinced in so many aspects. We hope to welcome you soon again.","Ambiente","","Sehr geehrter Herr Günther, vielen Dank für Ihre positive Beurteilung Ihres Aufenthaltes in unserem Haus. Wir freuen uns Sie in so vielen Aspekten vollständig überzeugt zu haben. Wir hoffen, Sie bald erneut begrüßen zu dürfen.",
"Elfriede","Germany","Couple","5.8","Okay","21 July 2014","Close to the Ku'damm, good price.","Grubby carpets; unpleasant smell in the bathroom;
uncomfortable & quot; solid rubber pillows & quot;","Dear Elfiede, for your stay in our home and the time you have taken to assess our services, we would like to thank you very much. Your comments are valuable to us dehr and will help us to further improve our services. Cleanliness is an important criterion for us, for which we have set ourselves high standards of their own. For this to have not achieved during your stay, we would like to apologize to thank you. We will investigate this and hope to convince you on a return stay of unserern really high standards.","Nähe zum Ku'damm, guter Preis.","Schmuddeliger Teppichboden; unangenehmer Geruch im Bad;
unbequemes "Vollgummikopfkissen"","Sehr geehrte Frau Elfiede, für Ihren Aufenthalt in unserem Hause und der Zeit die Sie sich zur Beurteilung unserer Leistungen genommen haben, möchten wir uns recht herzlich bedanken. Ihre Hinweise sind dehr wertvoll für uns und werden uns helfen, unsere Leistungen weiter zu verbessern. Sauberkeit ist ein wichtiges Kriterium für uns, für das wir uns hohe eigene Standards gesetzt haben. Dafür diese bei Ihrem Aufenthalt nicht erreicht zu haben, möchten wir uns recht herzlich bei Ihnen entschuldigen. Wir werden dem nachgehen und hoffen, Sie bei einem erneuten Aufenthalt von unserern eigentlich hohen Standards überzeugen zu können.",
"Dietmar","Germany","Solo traveller","7.9","Good","21 July 2014","Very friendly colors and great features.","Bath too small.","Dear Dietmar, Thank you that you were our guest and have us as well as judges in particular our employees so positively. We are pleased to see that we have taken with the selection of colors and features your expectations. Hopefully we can welcome you with us again very soon.","Sehr freundliche Farben und tolle Ausstattung.","Badewanne zu klein.","Sehr geehrter Herr Dietmar, vielen Dank, dass Sie unser Gast waren und uns als auch ins besondere unsere Mitarbeiter so positiv beurteilt haben. Es freut uns zu sehen, dass wir mit der Auswahl der Farben und der Ausstattung Ihre Erwartungen getroffen haben. Hoffentlich können wir Sie sehr bald wieder bei uns begrüßen.",
"Maciej","Poland","Family","9.2","Superb","16 July 2014","Location","","","lokalizacja","","",
"Maria","Poland","Couple","9.6","Exceptional","9 July 2014","good location, internet in the room, decor","","","dobra lokalizacja, internet w pokoju, wystroj wnetrza","","",
"Joachim","Germany","Couple","7.5","Prima ausser","5 July 2014","","Parking situation","Dear Joachim, Thank you for your overall positive assessment of your Aufenthaltes.Gerne we share your review with unserern employees and use your comments on parking situation for our internal evaluation. Thank you for taking the assessment of our performance for the period. We hope to welcome you soon again.","","Parkplatzsituation","Sehr geehrter Herr Joachim, vielen Dank für Ihre insgesamt positive Beurteilung Ihres Aufenthaltes.Gerne teilen wir Ihre Beurteilung mit unserern Mitarbeitern und nutzen Ihre Anmerkung zur Parkplatzsituation für unsere interne Auswertung. Vielen für die Zeit die Sie sich für die Beurteilung unserer Leistungen genommen haben. Wir hoffen, Sie bald erneut begrüßen zu dürfen.",
"Micha","Switzerland","Solo traveller","9.2","super zum Berlin erkunden","1 July 2014","Good price, modern, free wifi, friendly, clean and quiet. Ideally located to explore Berlin, Tegel Airport is easy to reach.","Drinks in mini bar are overpriced!","Dear Micha, thank you for your stay in our home. We are very pleased to see that we were able to completely convince in so many points of unserern services. We would be happy to share this with our team and thank you also for your comments on your minibar. We hope to welcome you soon again as a guest.","Guter Preis, modern, free wifi, freundlich, sauber und ruhig. Ideal gelegen, um Berlin zu erkunden, Flughafen Tegel ist einfach zu erreichen.","Getränke in Minibar sind überteuert!","Sehr geehrter Herr Micha, vielen Dank für Ihren Aufenthalt in unserem Hause. Es freut uns sehr zu sehen, dass wir Sie in so vielen Punkten vollständig von unserern Leistungen überzeugen konnten. Gerne werden wir dies mit unserem Team teilen und bedanken uns auch für Ihre Anmerkung zur Minibar. Wir hoffen, Sie bald wieder als Gast begrüßen zu können.",
"Janusz","Germany","Family","8.3","Very good","29 June 2014","Rooms basic but ausgestatet modern, clean, comfortable bed.
To the underground Uhlandstr. ca 300 m.
We will book this hotel again.","Expensive breakfast, no private car park, expensive ofentliche underground parking right next door.","Dear Mr. Janusz, Thank you for your overall positive review of your stay. We regret that we have not fully convinced with the price Leistungsverhältins of breakfast. Thank you but that you want regardless of book us again. It will be our pleasure to welcome you again soon.","Zimmer einfach, aber modern ausgestatet, sauber, bequemes Bett.
Zur U-Bahn Uhlandstr. ca 300 m. 
Wir werden das Hotel wieder Buchen.","Teures Frühstück, kein eigenes Parkplatz, teure ofentliche Tiefgarage direkt nebenan.","Sehr geehrter Herr Janusz, vielen Dank für Ihre insgesamt positive Beurteilung Ihres Aufenthaltes. Wir bedauern, Sie mit dem Preis-Leistungsverhältins des Frühstückes nicht vollständig überzeugt zu haben. Vielen Dank aber, dass Sie uns ungeachtet dessen erneut buchen wollen. Es wird uns eine Freude sein, Sie bald wieder begrüßen zu dürfen.",
"Raetschi","Germany","Couple","10","Exceptional","29 June 2014","It was all great!","","Dear Mr Jörg-Peter, thank you for your stay and your very positive review. We are pleased exceptionally, you have completely convinced us and we look forward to welcoming you again soon.","Es war alles Super!","","Sehr geehrter Herr Jörg-Peter, vielen Dank für Ihren Aufenthalt und Ihre sehr positive Beurteilung. Es freut uns ausserordentlich, Sie vollständig von uns überzeugt zu haben und wir freuen uns darauf, Sie bald wieder begrüßen zu dürfen.",
"Walter","Switzerland","Solo traveller","5.8","Okay","27 June 2014","friendly to staff,
however:
 Responsible manager (boss)
unfriendly, stiff,
bad communicator.
One reason to not go to the second time there.","Street side very noisy,
even with the windows closed, noise audible.
& Quot; cheap windows & quot; without significant sound insulation, to heavy traffic road .. !! ??","","an Personal freundlich, 
jedoch: 
 Verantwortlicher Leiter (Chef) 
unfreundlich, steif, 
schlechter Kommunikator.
Ein Grund um kein 2. mal dorthin zu gehen.","Strassenseite sehr lärmig,
selbst bei geschlossenen Fenster, Lärm hörbar.
"Billig-Fenster" ohne wesentlichen Schallschutz, an stark befahrener Strasse ..!!??","",
"Ernst","Germany","Couple","4.6","Disappointing","26 June 2014","","Used towels, too few staff during breakfast (buses), removing the curtains during the stay","Dear Mr. Ernst, thank you for your stay with us. We are very sorry that we could not show you and prove our really high standard during your visit. We are so worked up with our employees and hope despite everything again to welcome you, to convince you of our actual standard and abilities.","","Gebrauchte Handtücher, zu wenig Personal während des Frühstücks (Busse), Entfernen der Gardinen während des Aufenthalts","Sehr geehrter Herr Ernst, vielen Dank für Ihren Aufenthalt bei uns. Wir bedauern sehr, dass wir Ihnen während Ihres Besuches unseren eigentlich hohen Standard nicht zeigen und beweisen konnten. Wir werden dies mit unseren Mitarbeitern aufarbeiten und hoffen, Sie trotz allem erneut zu begrüßen, um  Sie von unserem eigentlichen Standard und Fähigkeiten überzeugen zu können.",
"Elena","Germany","Couple","9.6","Exceptional","25 June 2014","Very modern Eineichtung
Central location","Only expensive parking nearby","","Sehr moderne Eineichtung 
Zentrale Lage","Nur teure Parkmöglichkeiten in der Nähe","",
"Miroslav","Czech Republic","Couple","8.8","Fabulous","22 June 2014","Peace, location, amenities","Small details - in its sum total irrelevant ...","","Klid, umístění, vybavenost","Drobné detaily - v svém součtu celkem nepodstatné...","",
"Anna","Germany","Solo traveller","8.3","Very good","20 June 2014","Great Room-Everything worked out fine!
Breakfast few euros too expensive maybe-everything else good","","","tolles Zimmer-Alles bestens geklappt!
Frühstück paar euro zu teuer vielleicht-sonst alles gut","","",
"Светлана","Russia","Couple","7.5","Good","17 June 2014","The hotel is clean, interesting interior. Cleaned well, towels changed every day and gave new shampoo;) even when hung a sign & quot; do not bother & quot ;, door left a package with Twal. paper towels and q-s shower. Free wi-fi, close to the subway, shopping street and hard-rock cafe! Settled earlier, at no additional cost!","We booked a room without breakfast, but upon arrival to block money for them! When leaving nothing is certainly not removed, but it was not convenient, since our two rooms for 4 nights on the map blocked 160evro.","","Отель чистый, интересный интерьер. Убирали хорошо, каждый день меняли полотенца и давали новые шампуни;) даже когда вешали табличку "не беспокоить", на двери оставляли пакет с туал. бумагой, полотенцами и ср-ами для душа. Бесплатный wi-fi, близко метро, улица с магазинами и hard-rock cafe! Заселили раньше, без доплаты!","Мы бронировали номер без завтраков, но при заезде блокируют деньги за них! При отъезде ничего конечно не снимают, но это было не удобно, так как с двух наших номеров на 4 дня на карте заблокировали 160евро.","",
"David","Germany","Couple","9.6","Exceptional","17 June 2014","Very Great hotel with nice atmosphere, good location, clean and top breakfast","","","Sehr Tolles Hotel mit schönem Flair, gute Lage, sauber und top Frühstück","","",
"Eva","Germany","Group of friends","7.9","Good","13 June 2014","Very friendly staff","Shower wall considerably in need of renovation","Dear Eva, thank you that you were our guest. Your positive review we were very happy. That we could convince you fully with our price-performance ratio and the Leisuntg our employees in particular. For the poor condition of the shower wall and we apologize in due form. We hope to welcome you again soon.","Sehr freundliches Personal","Duschwand erheblich renovierungsbedürftig","Sehr geehrte Frau Eva, vielen Dank dass Sie unser Gast waren. Ihre positive Bewertung hat uns sehr gefreut. Insbesondere, dass wir Sie mit unserem Preis-Leistungsverhältnis und der Leisuntg unserer Mitarbeiter voll überzeugen konnten. Für den schlechten Zustand der Duschwand möchten wir uns in aller Form entschuldigen. Wir hoffen, Sie bald wieder begrüßen zu dürfen.",
"Maria81","Norway","Couple","10","Exceptional","13 June 2014","Stylish, comfortable, quaint","","","Stiilne, mugav, omapårane","","",
"Marieke","Belgium","Couple","6.7","Pleasant","13 June 2014","Hygiene, very neat and clean. Clean hotel.","The breakfast was just completed and there was never coffee. Breakfast staff was very lax and unfriendly.","","De hygiëne, heel erg proper en net. Clean hotel.","Het ontbijt werd amper aangevuld en er was nooit koffie. Ontbijt personeel was zeer laks en onvriendelijk.","",
"Weiqiang","China","Group of friends","7.5","Good","12 June 2014","Location is very close to the city, designed with unique features! Artistic qualities!","Standard double room only a bed, but plan is to see all the rooms are like this! For both business travel inconvenient!","","地点很接近市区，设计很有特点！有艺术特质！","标准双人房只有一张大床，而且看平面图是全部房间都这样！对于商务出差的两人使用不方便！","",
"Margareth","Brazil","Couple","6.3","Pleasant","10 June 2014","Breakfast, excellent","Very small room","","Café da manhã, excelente","Quarto muito pequeno","",
"Torsten","Germany","Couple","10","Exceptional","10 June 2014","Everything super comfortable, has a great flair","","Thanks for your great review and your visit to our home. We are pleased to expect to have been completely designed and we hope to soon welcome you back with us.","Alles super gemütlich , hat einen super Flair ","","Vielen Dank für Ihre tolle Bewertung und Ihren Besuch in unserem Hause. Es freut uns Ihren Erwartungen komplett gerecht worden zu sein und wir hoffen, Sie bald wieder bei uns begrüßen zu dürfen.",
"Hildegund","Germany","Couple","9.2","Superb","10 June 2014","the good quality, the cleanliness, the beautiful and convenient location to public transport","","Thank you for visiting us and for your kind words about amenities, cleanliness and location. We are very happy to have your expectations in many areas fully met. We are happy to share your praise with our team and look forward to your next visit.","die gute Ausstattung, die Sauberkeit, die schöne und bequeme Lage zu öffentlichen Verkehrsmitteln","","Vielen Dank für Ihren Besuch bei uns, als auch für Ihre freundlichen Worte über Ausstattung, Sauberkeit und Lage. Wir freuen uns sehr, Ihre Erwartungen in vielen Bereichen voll erfüllt zu haben. Gerne teilen wir Ihr Lob mit unserem Team und freuen uns schon auf Ihren nächsten Besuch.",
"Thomas","Germany","Couple","7.1","Good","9 June 2014","very friendly staff
super breakfast","stained floor
lack of towels and bathrobes
were changed or replaced after prompt.","Dear Thomas, Thank you for your stay in our home and for your kind words about our friendly staff and great breakfast. So meh, we regret that we were unable to satisfy in every respect. Your comments to the floor and the towels we will share with our staff and get to continue to improve. We hope to see you soon again with us again.","sehr freundliches personal
super frühstück","fleckiger fussboden-
fehlende handtücher und bademäntel
wurden erst nach aufforderung gewechselt oder ersetzt.","Sehr geehrter Herr Thomas, vielen Dank für Ihren Aufenthalt in unserem Hause und für Ihre freundlichen Worte zu unseren freundlichen Mitarbeitern und dem super Frühstück. Um so meh bedauern wir, dass wir Sie nicht in allen Punkten zufriedenstellen konnten. Ihre Anmerkungen zum Fussboden und den Handtüchern werden wir mit unseren Mitarbeitern teilen und nutzen um uns weiter zu verbessern. Wir hoffen, Sie erneut bald wieder bei uns begrüßen zu dürfen.",
"Tatiana","Russia","Couple","9.6","Exceptional","7 June 2014","Friendly staff, comfortable hotel","Small Room","","Дружелюбный персонал, оформление отеля","Маленький номер","",
"Ulf","Germany","Solo traveller","8.3","Very good","4 June 2014","good service, very good breakfast","Parking was difficult","Thank you for your positive review and for staying with us. You have completely convinced with the location and the cleanliness has us very happy. Thanks also for the nice comments on our service and our breakfast. We hope to soon welcome you back with us.","guter Service, sehr gutes Frühstück","Parkplatz war schwierig","Vielen Dank für Ihre positive Beurteilung und für den Aufenthalt in unserem Haus. Sie mit der Lage und der Sauberkeit vollständig überzeugt zu haben, hat uns sehr gefreut. Dank auch für die netten Anmerkungen zu unserem Service und unserem Frühstück. Wir hoffen, Sie bald wieder bei uns begrüßen zu dürfen.",
"Stephan","Belgium","Couple","10","Exceptional","3 June 2014","There is the opportunity to serve a small breakfast at the table. So you MUST not use the buffet breakfast. In addition, the Wi-Fi is free of charge and sufficiently quickly. In the rooms have a kettle with coffee, tea and cocoa available, which is not always the case with all the hotels. Finally, the design is (Andy Warhol pop art) very appealing and yet not intrusive.","","Thank you for your stay and for your great review. We were very pleased to have you completely satisfied with our service and our product. We are happy to share this with our team and look forward to your next visit.","Es gibt die Möglichkeit, sich ein kleines Frühstück am Tisch servieren zu lassen. Man MUSS also nicht das Buffettfrühstück nutzen. Ausserdem ist das WLAN kostenfrei und hinreichend schnell. In den Räumen steht ein Wasserkocher mit Kaffee, Tee und Kakao zur Verfügung, was auch nicht immer bei allen Hotels der Fall ist. Und schliesslich ist das Design (Andy Warhol Popart) sehr ansprechend und trotzdem nicht aufdringlich.","","Vielen Dank für Ihren Aufenthalt und für Ihre tolle Bewertung. Wir haben uns sehr gefreut Sie mit unserer Leistung und unserem Produkt vollständig überzeugt zu haben. Gerne teilen wir dies mit unserem Team und freuen uns schon auf Ihren nächsten Besuch.",
"Francesco","Italy","Solo traveller","5.8","Okay","3 June 2014","location, charm","staff","","posizione , charme","personale","",
"Matthias","Germany","Couple","6.7","Pleasant","2 June 2014","","Room was in need of renovation, as part of the furnishings were worn and defective.","Thank you for your stay with us at home and the time you have taken for this evaluation. We are very pleased to have you convinced with the cleanliness with us. But we regret to have failed to achieve in all areas. Your assessment, we will be happy to share with our team and use our work and our product to improve.","","Zimmer war renovierungsbedürftig, da Teile der Einrichtung abgewohnt und defekt waren.","Vielen Dank für Ihren Aufenthalt bei uns im Hause und die Zeit, die Sie sich für diese Beurteilung genommen haben. Es freut uns sehr, Sie mit der Sauberkeit bei uns überzeugt zu haben. Wir bedauern aber, dies nicht in allen Bereichen erreicht zu haben. Ihre Beurteilung werden wir gerne mit unserem Team teilen und zur Verbesserung unser Arbeit und unseres Produktes nutzen.",
"Elvira","Russia","Solo traveller","10","Exceptional","30 May 2014","nice clean comfortable","","","чисто красиво удобно","","",
"Klaus","Germany","Solo traveller","7.9","Good","29 May 2014","Very central location close to the Ku'damm. All local attractions, such as Transactions (such as KaDeWe), Zoo / Aquarium, transportation hubs (Zoo Station, subway) in close walking distance. Ideal for a city trip to Berlin. Good price / performance ratio: in-room WiFi access, modern TV with multimedia functions. Rooms are clean, maybe a bit & quot; sober & quot; for one or the other flavor (stop & quot; modern & quot;), but overall comfortable, with an age appropriate wear degree, but not in any way & quot; worn & quot ;.","There really nothing that did not fit. Just a small note: there is only a single, relatively small elevator. In view of the assignment (the hotel was fully booked during my stay) came regularly to & quot; queues & quot; in front of the elevator on the ground floor. But no problem for me, as my room was on the 1st floor and I just used the stairs. My room was & quot; inside & quot; (The street not) and was absolutely quiet. In this sense, so nothing really to complain about;-)","Thank you for your stay in our home. About your positive review, we are very pleased. We hope to welcome you again soon.","Sehr zentrale Lage in unmittelbarer Nähe des Ku'damms. Alle dortigen Attraktionen, z.B. Geschäfte (wie KaDeWe), Zoo/Aquarium, Verkehrsknotenpunkte (Bahnhof Zoo, U-Bahn) in Fußwegnähe. Ideal für einen Städtetrip nach Berlin. Gutes Preis-/Leistungsverhältnis: im Zimmer WLAN kostenlos, moderner Fernseher mit Multimediafunktionen. Zimmer sind sauber, vielleicht ein bisschen "nüchtern" für den einen oder anderen Geschmack (halt "modern"), insgesamt aber komfortabel, mit einem dem Alter entsprechenden Abnutzungsgrad, aber in keiner Weise "abgewohnt".","Gibt eigentlich nichts, was nicht gepasst hat. Nur eine kleine Anmerkung: Es gibt nur einen einzigen, relativ kleinen Aufzug. In Anbetracht der Belegung (das Hotel war während meines Aufenthaltes ausgebucht) kam es regelmäßig zu "Warteschlangen" vor dem Aufzug im Erdgeschoss. Für mich aber kein Problem, da mein Zimmer im 1. Stock war und ich einfach die Treppe benutzt habe. Mein Zimmer lag "innen" (nicht zur Straße) und war absolut ruhig. So gesehen, also doch nichts wirklich zu beanstanden ;-)","Vielen Dank für Ihren Aufenthalt in unserem Hause. Über Ihre positive Beurteilung haben wir uns sehr gefreut. Wir hoffen, Sie bald wieder begrüßen zu dürfen.",
"Harald","Austria","Family","8.8","Fabulous","27 May 2014","Helpful staff, offering breakfast from € 10, -, location,","Room a bit small","Thank you for your positive review and for your stay in our house. About your kind words about our staff, the location and the breakfast we were very pleased. It would be nice to welcome you again with us soon.","Hilfsbereitschaft des Personals, Angebot für Frühstück von € 10,-, Lage,","Zimmer etwas klein","Vielen Dank für Ihre positive Beurteilung und für Ihren Aufenthalt in unserem Haus. Über Ihre freundlichen Worte zu unserem Personal, der Lage und dem Frühstück haben wir uns sehr gefreut. Es wäre schön, Sie bald wieder bei uns begrüßen zu dürfen.",
"Mauricio","Brazil","Couple","7.5","Good","27 May 2014","Of care","","","Do atendimento","","",
"Detlef","Germany","Couple","5.8","Okay","25 May 2014","The room was quiet raus -after back","carpet will probably rarely sucked, in our room we saw it at different filters (had 4 days there) that a vacuum cleaner did not come to use and the breakfast was hotel chaotic for a 4 stars, either were no eggs there or the bacon was missing, and umgekehrt.das staff was overwhelmed","Thank you sharing your impressions about your stay with us and for choosing our house. As guest experience and service for us are an essential part of our work, we are very sorry that we could not convince in terms of cleanliness and service and have not met our own high standards. For this we apologize. Please be assured that we will share your points with our team and examine exactly why we have not worked within our own high standards.","das zimmer war ruhig -nach hinten raus-","teppichboden wird wahrscheinlich selten gesaugt, in unserem zimmer haben wir es an verschiedenen stellen gesehen (waren 4 tage dort) das ein staubsauger nicht zum einsatz kam und das frühstück war für ein 4 sterne hotel chaotisch, entweder waren keine eier da oder der speck fehlte, und umgekehrt.das personal war überfordert","Vielen Dank, dass Sie Ihre Eindrücke zu Ihrem Aufenthalt mit uns teilen und sich für unser Haus entschieden haben. Da Gasterfahrung und Service für uns ein wesentlicher Bestandteil unser Arbeit sind, bedauern wir sehr, dass wir Sie in Punkto Sauberkeit und Service nicht überzeugen konnten und unsere eigenen hohen Standards nicht erreicht haben. Hierfür möchten wir uns entschuldigen. Bitte seien Sie versichert, das wir Ihre Punkte mit unserem Team teilen werden und genau prüfen werden, warum wir nicht innerhalb unserer eigenen hohen Ansprüche gearbeitet haben.",
"Sławomir","Poland","Group of friends","7.5","Good","25 May 2014","good location, great breakfast, nice staff, good value for money","a little better internet would come in handy","","dobra lokalizacja, świetne śniadania, miły personel,dobry stosunek ceny do jakości","trochę lepszy internet by się przydał","",
