"Name","Country","Traveler Type","Score","Score Explanation","Date","Pros","Cons","Response","Pros Original","Cons Original","Response Original"
"Dieter","Germany","Group of friends","7.5","Gutes "Basislager" für Exkursionen in Berlin.","4 September 2014","Location and value for money","Squeaky lift door,
loud rumbling door closers of doors,
faulty room safe","","Lage und Preis- Leistungsverhältnis","Quietschende Lift-Türe,
laut polternde Türschließer der Zimmertüren,
defekter Zimmersafe","",
"Joao","Brazil","Couple","9.2","Hotel muito bom.","4 September 2014","It has a beautiful location, close to tourist and near the Berlin metro locations.","Nothing.","","Tem uma bela localização, próximo a locais turísticos e próximo ao metro de Berlim.","Nada.","",
"Lukas","Canada","Couple","8.3","Very good","3 September 2014","very nice staff,
quiet, relatively central location
comfortable beds","something long way to the subway station","","sehr nettes Personal,
ruhige, relativ zentrale Lage
bequeme Betten","etwas weiter Weg zur U-Bahn Station","",
"Frank","Germany","Solo traveller","6.3","berlintripp","2 September 2014","room equipment was ok. The staff is very nice .the hotel location in the middle was perfect for me.","The breakfast offered was not the price I angemessen.für 11.50 I actually even a salmon fry -and- plate and diversified expected. the safe was not benutzbar.eine bottle of water at 4 overnight stay free was very economical ..","","zimmerausstattung war ok. das personal ist sehr nett .die hotellage in mitte war für mich optimal.","das  frühstücksangebot fand ich nicht dem preis angemessen.für 11,50 habe ich eigentlich auch noch eine lachs -und bratenplatte und abwechslung erwartet. der  safe war nicht benutzbar.eine flasche wasser bei 4 übernachtung gratis war sehr sparsam..","",
"Antimo","Italy","Couple","9.6","Soggiorno perfetto ad un prezzo super vantaggioso.","2 September 2014","The Lutzow Hotel is located just 800 meters from the world famous Berlin Zoo, just 200 meters from the Bus stop & quot; Corneliusbrucke & quot ;, joining the points more & quot; tourist & quot; of the city. The hotel is modern and clean, as was the room in which I stayed, which, although not great, it offered all the amenities, including a small kitchen where you can prepare a free tea or coffee. Even the bathroom in the room was comfortable but not great. I would recommend this hotel to anyone planning a trip to the German capital, offering at an affordable price with all comforts and a very strategic location.","Nothing to report","","L'Hotel Lutzow è posizionato a soli 800 metri dal famosissimo Zoo di Berlino e a soli 200 metri dalla fermata dell'Autobus "Corneliusbrucke", che unisce i punti più "turistici" della città. La struttura è moderna e pulita, così come la camera in cui ho soggiornato, che, sebbene non grandissima, offriva tutti i comfort, compresa una piccola cucina dove potersi liberamente preparare un tè o un caffè. Anche il bagno in camera era confortevole ma non grandissimo. Consiglierei questo albergo a chiunque abbia in programma un viaggio nella capitale Tedesca, che offre ad un prezzo vantaggioso tutti i comfort ed una posizione decisamente strategica.","Nulla da segnalare","",
"Ricardo","Brazil","Group of friends","7.1","Good","2 September 2014","Location and cost benefit. I will recommend to friends who come to Berlin. And helpful reception staff.","Cooking without utensils to use. If you have to pay to use the part. The minimum of crockery and cutlery should provide.","","Localização e  relação custo benefício. Irei recomendar para  amigos que vierem a Berlim. Pessoal da  recepção bem prestativos.","Cozinha  sem utensílios para utilização. Se  usar tem que pagar a parte. O  minimo  de louças e talheres deveriam disponibilizar.","",
"Paolo","Italy","Couple","7.5","ottimo rapp. qualità/prezzo","30 August 2014","good location, clean room, small but pleasant","","","buona posizione, camera pulita, piccola ma gradevole","","",
"Miho","France","Solo traveller","5","ミッテにあると書いてあるけどそれは嘘","28 August 2014","The careful this hotel is not a mitte located between the district and Schonebourg tiergarten. transport links are better at 13 minutes walk from zoologischer garden.","People who do not sleep only in a quiet place to watch out the smell of the old inn, to because there is quite sound leakage. and I think you are using a system of old nets a - not a must put the password every time it expires wifi also difficult to lead.","","このホテルは tiergarten とSchonebourg 地区の間にありmitteではないから気をつけて。 zoologischer garden から歩いて13分程度で交通の便は良い方。","古い旅館の匂いがするし 音漏れがかなりあるので 静かな所でしか寝れない人は要注意。wifiもつながりにくく切れる度パスワードを入れなければならないの- で古いネットのシステムを使っているのだと思います。","",
"Boris","Russia","Couple","10","Exceptional","24 August 2014","Having a kitchen, good location","","","Наличие кухни, хорошее расположение","","",
"Emiliano","Italy","Family","10","Provare per credere","24 August 2014","The cleaning, the speed of wifi, helpful staff, reception, parking in front of the hotel (even if paid), the quiet ...","","","La pulizia, la velocità del wifi, disponibilità dello staff, accoglienza, il parcheggio di fronte all'hotel (anche se a pagamento), la posizione tranquilla...","","",
"Ilya","Russia","Couple","10","Exceptional","21 August 2014","In Berlin, difficult to run into a bad hotel, and this is a great proof of that. Perfectly caught the internet, very quiet - slept wonderfully. In addition, there is a kettle in the room - you can always have a drink in the morning tea or coffee. To the subway to go 7-10 minutes on foot. Right at the hotel's rental bicycles - 12 euros a day - a great way to see the whole of Berlin.Two days obkatali entire city.
Overall, the hotel and room were very satisfied.","","","В Берлине сложно нарваться на плохой отель, и этот является отличным тому подтверждением. Прекрасно ловил интернет, очень тихо - спалось чудесно. К тому же в номере есть чайник - всегда можно выпить с утра чай или кофе. До метро идти минут 7-10 пешком. Прямо при отеле есть прокат велосипедов - 12 евро в сутки - отличный способ увидеть весь Берлин. За два дня обкатали весь город.
В целом отелем и номером остались крайне довольны.","","",
"Elisabetta","Germany","Couple","9.2","Consigliatissimo","19 August 2014","Absolutely nothing to complain about: the center (10 minutes walk from Wittenbergplatz), small room but well appointed, clean and provided everything (including mini-kitchen with possibility to rent you need to cook), continental breakfast, perhaps a little 'dear (9 €) but of excellent quality and with decent selection, wi-fi reception perfect.","If you really want to find fault, the shutters of the window were not very effective, and early in the morning the room was invaded by light.","","Assolutamente nulla di cui lamentarsi: posizione centrale (10 minuti a piedi da Wittenbergplatz), camera piccolina ma ben arredata, pulita e fornita di tutto (compresa mini-cucina con possibilità di affittare il necessario per cucinare), colazione continentale forse un po' cara (9€) ma di ottima qualità e con discreta scelta, ricezione wi-fi perfetta.","Se proprio si vuole trovare un difetto, gli scuri alla finestra non erano molto efficaci, e fin dal mattino presto la camera era invasa dalla luce.","",
"Samar","Saudi Arabia","Solo traveller","6.7","يؤدي الغرض","19 August 2014","","The atmosphere is warm to the lack of air
The rooms and corridors narrow","","","الجو الحار لعدم وجود تكييف 
الغرف والممرات ضيقة","",
"Daniela","Italy","Couple","8.3","Very good","19 August 2014","Good location, cleanliness and breakfast","","","Buona posizione, pulizia e colazione","","",
"Edenir","Italy","Couple","9.6","VERAMENTE CONSIGLIATO","19 August 2014","IF YOU THINK WE HAVE PAID AS I WOULD SAY THAT HAS GREATLY EXCEEDED OUR EXPECTATIONS IN EVERYTHING!","PILLOWS ARE A LITTLE UNCOMFORTABLE ....
BUT DO NOT LOSE POINTS FOR THIS !!!","","SE PENSIAMO A QUANTO ABBIAMO PAGATO DIREI CHE HA SUPERATO GRANDEMENTE LE NOSTRE ASPETTATIVE IN TUTTO!","I CUSCINI SONO UN PO SCOMODI....
MA NON PERDE PUNTI PER QUESTO!!!","",
"Andrey","Kazakhstan","Group of friends","10","тихий уютный отель недалеко от центра","18 August 2014","Location in a quiet area in the heart. Polite staff. Cozy hotel. In walking distance to all the shops close for shopping, bars and cafes on a pleasure taste and purse, grocery stores, metro station.","","","Расположение в тихом районе в самом центре. Вежливый персонал. Уютный отель. В пешей близости все магазины для шоппинга, бары и кафе на любо вкус и кошелек, продуктовые магазины, станция метро.","","",
"Jie","Germany","Couple","7.5","还会再住","17 August 2014","Very good","Rooms a bit small","","都很好","房间有点小","",
"Platter","Italy","Couple","7.1","Super Lage","17 August 2014","Rest ... Lage..Anbindung to the public transports","keine Klima ...","","Ruhe...Lage..Anbindung an offentliche Verkehrsmittel","keine Klima...","",
"Kirsten","Denmark","Couple","10","Roligt hotel i gode omgivelser","13 August 2014","Great Try Torre Del easy to bus and U Bahn. Quiet area no traffic, friendly and accommodating staff. Can be recommended. Both young and older","WiFi coverage is not just good in every room","","Fantastisk belligenhed let til bus og U bahn. Roligt område ingen trafikstøj, Venligt og imødekommende personale. Kan klart anbefales. Både til unge og ældre","WiFi dækningen ikke lige god på alle værelser","",
"Emilia","Italy","Couple","8.3","Very good","13 August 2014","Hotel very clean, rooms not large but comfortable, location is not very close to the metro but close to tram and bus. Staff friendly and helpful!","The wifi worked in fits and starts!","","Hotel pulitissimo, stanze non grandi ma confortevoli, posizione non vicinissima alla metro ma vicina a tram e bus. Staff gentile e disponibile!","Il wifi funzionava a singhiozzo!","",
"Lothar","Germany","Family","8.8","Fabulous","12 August 2014","Very quiet room in good location.","Room facing the backyard. Very warm despite nightly cooling. Air conditioning would be beneficial.","","Sehr ruhiges Zimmer in guter Lage.","Zimmer Richtung Hinterhof. Sehr warm trotz abendlicher Abkühlung. Klimaanlage wäre vorteilhaft.","",
"Valentyn","Ukraine","Solo traveller","6.3","Pleasant","11 August 2014","Breakfast and a parking lot.","The location in a residential neighborhood.","","Завтрак и свой паркинг.","Расположение в жилом квартале.","",
"Joaquim","Spain","Couple","8.8","Una agradable estada.","8 August 2014","Excellent location, communication and tranquility of the neighborhood. Reception very friendly and attentive.","Bedroom too small.","","Excel.lent ubicacio, comunicacio i tranquil-litat del barri. La recepcio molt atenta i agradable.","Habitacio massa petita.","",
"Aleksei","Russia","Couple","7.1","Good","7 August 2014","","The lack of air conditioning in the room, the parking situation is not clear","","","Отсутствие кондиционера в номере, непонятная ситуация с парковкой","",
"Elena","Russia","Couple","6.3","скромный отель","5 August 2014","Two blocks grocery store Kaiser 24h. close KaDeVe and the main shopping street, near the zoo, breakfast for two types of continental 9evro and full -11,5evro.","Did not like the lack of self-parking, at the reception said that the garage under the hotel 19 euros per night, but in fact 16 possible on the street for 11 euros, but the machine to pay for parking does not take a bank card, coins only, without payment of parking fines, tableware two plates and two forks with a knife, a frying pan and ladle for 20 euros per week.","","В двух кварталах продовольственный магазин Кайзер 24часа. недалеко КаДэВэ и главная торговая улица, рядом зоопарк, завтрак двух видов континентальный за 9евро, и полный -11,5евро.","Не понравилось отсутствие собственного паркинга, на ресепшен сказали, что гараж под отелем 19 евро в сутки, а на деле 16, возможно на улице за 11 евро, но автомат по оплате за парковку не берет банковскую карту, только монеты, без оплаты стоянки штраф, посуда две тарелки и две вилки с ножом, сковородка и ковш за 20 евро за неделю.","",
"Cecília","Brazil","Couple","6.7","Razoável","1 August 2014","The street is very quiet and the bus lines that pass most tourist attractions (100 and 200) have the next point. The receptionist afternoon (Patricia) was extremely friendly and helpful.","The bed is not great and a side rests against the wall, when pulled back a little to have access, there was a lot of dust under the bed. The rooms have no air conditioning and it was very hot, with the sun in the room until 21pm. The bathroom is small but clean.","","A rua é bem tranquila e as linhas de ônibus que passam na maior parte das atrações turísticas (100 e 200) têm ponto próximo. A recepcionista da tarde (Patrícia) foi extremamente simpática e prestativa.","A cama não é grande e uma lateral fica encostada na parede, quando a afastei um pouco para poder ter acesso, havia muita poeira sob a cama. Os quartos não têm ar condicionado e fazia muito calor, com o sol batendo no quarto até às 21h. O banheiro é pequeno, mas limpo.","",
"Ditte","Denmark","Couple","7.5","God oplevelse","29 July 2014","Good location close to U station and bus. Lovely with smoking. Lovely with mini kitchen. Reasonable price.","Have nothing bad to say-)","","God beliggenhed tæt på u station og bus. Dejlig med rygerværelser. Dejligt med mini køkken. Rimelig pris.","Har ikke noget dårligt at siger :-)","",
"Joanna","Poland","Family","9.6","Exceptional","24 July 2014","The friendly, English-speaking staff, great location, no problem with parking on the street (I might add that the parking fee is 0,25EUR for 15 min., Or a day out EUR 11, he pays in from 9:00 to 20:00, excluding Sundays), mini kitchenette (fridge, kettle and hob on one burner, with the fact that for the loan of vessels actually pay, although some basic things you can take with you, especially if you are going by car), bathroom small but clean , the hair and all around.
Very close to the Zoo!
The breakfast can not comment - we did not use.","No air-conditioning in the room. We hit the July heat and at night the room was 30C degrees ...","","Przyjazny, anglojęzyczny personel, świetna lokalizacja, brak problemu z miejscem parkingowym przy ulicy (dodam, że opłata za parking to 0,25EUR za 15 min., czyli na dobę wychodzi 11 EUR, bo płaci się od 9:00 do 20:00, bez niedziel), mini aneks kuchenny (lodówka, czajnik i płyta grzewcza na jeden palnik; z tym, że za wypożyczenie naczyń faktycznie się płaci, chociaż jakieś podstawowe rzeczy można zabrać ze sobą, zwłaszcza jeśli jedzie się samochodem), łazienka mała, ale czysta, jest suszarka i w ogóle ok.
Bardzo blisko do Zoo!
Na temat śniadań nie mogę się wypowiedzieć - nie korzystaliśmy.","Brak klimatyzacji w pokoju. Trafiliśmy na lipcowe upały i w nocy w pokoju było 30C stopni...","",
"Tamara","Spain","Group of friends","8.8","Muy buen hotel","20 July 2014","Well located, good hhabitación","Todo ok","","Bien situado, buena hhabitación","Todo ok","",
"Elisa","Italy","Couple","8.3","Ottima soluzione!","19 July 2014","It is located in a quiet area, but well connected to the points of interest of the city. The staff is always helpful and friendly. The rooms are okay.","Unfortunately, the bed was not very comfortable (subjective comment) and we had trouble with the wifi.","","È situato in una zona tranquilla, ma ben collegato con i punti di interesse della città. Lo staff è sempre disponibile e cordiale. Le camere sono nella norma.","Purtroppo il letto non era molto comodo (commento soggettivo) e abbiamo avuto difficoltà con la connessione wifi.","",
"Damian","Poland","Couple","9.2","Superb","19 July 2014","I would recommend, clean hotel, good location, comfortable, large fridge, kettle, microwave, everything great!","","","Polecam, czysty hotel, dobra lokalizacja, wygodny, duza lodowka, czajnik, mikrofalowka, wszystko super!","","",
"Thomas_Anderl","Germany","Solo traveller","7.9","Good","16 July 2014","Tea and coffee during the day, location, friendliness of the receptionists and management","rare Housekeeping","","Tee und Kaffee tagsüber, Lage, Freundlichkeit der Rezeptionisten und des Managements","seltene Zimmerreinigung","",
"Gabriele","Germany","Couple","8.3","hat alles gut geklappt","16 July 2014","Friendliness","","","Freundlichkeit","","",
"niczegoniezalowac","Poland","Couple","9.2","Tani, dobry hotel","14 July 2014","We were afraid to book the hotel at this price, worried about poor conditions, but the hotel out extremely positively surprised us! Clean, small rooms, great location, very close to KaDeWe.
The hotel is plenty of parking spaces available, so do not mind that the hotel does not have its parking, it costs about 15euro per night, Sunday free of charge.","No","","Baliśmy się rezerwować hotel w tej cenie, obawialiśmy się słabych warunków, ale hotel baaardzo pozytywnie nas zaskoczył! Czyste, nieduże pokoje, w świetnym miejscu, bardzo blisko KaDeWe. 
Przy hotelu jest dostępnych wiele miejsc parkingowych, więc nie przeszkadza to, że hotel nie ma swojego parkingu, cena około 15euro za dobę, niedziela bezpłatnie.","Brak","",
"Anton","Russia","Solo traveller","7.5","Good","14 July 2014","Having a kitchen in the room","No slippers in the room. There is no balcony. Poor room lighting. High audibility. No mosquito nets on the windows. Stuffy.","","Наличие кухни в номере","Нет тапочек в номере. Отсутствует балкон. Слабое освещение номера. Высокая слышимость. Нет москитных сеток на окнах. Душно.","",
"Elin","Sweden","Couple","7.9","Good","13 July 2014","Clean room","","","Clean room","","",
"Francisco","Spain","Couple","7.5","Buena relación claidad precio","13 July 2014","It is simple but clean, very nice and very well located.","","","Es sencillo pero limpio, muy agradable y muy bien situado.","","",
"Daniela","Colombia","Solo traveller","9.2","Superb","11 July 2014","The rooms are excellent, very comfortable, the bathroom is always clean, has a fridge and a kitchenette very helpful, breakfast is rich, the location is very central, close to center of berlin","Nothing, all very good","","Las habitaciones son excelentes, muy comodas, el baño siempre esta limpio, tiene nevera y una pequeña cocina muy util, el desayuno es rico, la ubicacion es muy central, queda cerca del centro de berlin","Nada, todo muy bueno","",
"Andrey","Russia","Couple","9.2","умное предложение","10 July 2014","Parking under the roof and the entrance to the hotel,
location","no air conditioning
mini-kitchen is, and no utensils","","парковка под крышей и вход в отель,
расположение","отсутствие кондиционера
миникухня есть, а посуды нет","",
"Concepcion","Spain","Couple","7.5","Good","9 July 2014","The hotel is very correct.
Attention Patricia, spoke Spanish, we facilitated the information on location and transportation.","A bit uncomfortable pillows
problems with the wifi","","El hotel es muy correcto. 
La atención de Patricia, hablaba español, nos facilitaba las informaciones sobre ubicación y transporte.","Un poco incomodas las almohadas
problemas con la conexión wifi","",
"Igor","Russia","Couple","8","Very good","8 July 2014","Great location, with respect to all the attractions.","The room was located on the 3rd floor, the temperature outside 28 - air conditioning was out! But it will not be the reason not to choose this hotel again.","","Отличное расположение, относительно всех достопримечательностей.","Номер располагался на 3 этаже, температура за окном +28 - кондиционер отсутствовал! Но это не станет причиной, не выбрать этот отель снова.","",
"Peter","Germany","Solo traveller","7.1","Good","2 July 2014","Good location; friendly staff","breakfast and equipped for space","","Gute Lage; freundliches Personal","das Frühstück und der dafür ausgestattete Raum","",
"Johannes","Netherlands","Family","8.3","Very good","1 July 2014","Price / quality, location, kitchenette","Narrow bed for 2 people, approx 1.1m ...","","Prijs/kwaliteit, ligging, keukentje","Smal bed voor 2 personen, ca 1,1m...","",
"Alberto","Italy","Couple","10","Exceptional","1 July 2014","Great location close to public transport, friendly and amenable staff, room cleaned every day, quiet area. all okk","Everything perfect :)","","Ottima posizione vicina ai trasporti pubblici, staff gentilissimo e disponibilissimo, camera pulita ogni giorno , zona silenziosa . tutto okk","Tutto perfetto!:)","",
"Ole","Denmark","Solo traveller","7.1","Good","1 July 2014","Friendly staff.
Quiet Atmosphere.
Lovely mixed guest clientele nice with young people.
Lovely with outdoor dining options.","The mattress was unfortunately too soft for my back.
I have been accustomed to harder mattresses at other hotels.","","Venligt personale.
Rolig Atmosfære.
Dejligt blandet gæsteklientel, rart med unge mennesker.
Dejligt med mulighed for udendørsspisning.","Madrassen var desværre for blød for min ryg.
Jeg har været vant til hårdere madrasser på andre hoteller.","",
"Vicente","Brazil","Couple","7.5","Good","30 June 2014","The very attentive staff.","The hotel appears to be in the Mitte district (which we tried).
A little far from the subway.","","Do staff muito atencioso.","O hotel aparece como estando no bairro de Mitte (o que procurávamos).
Um pouco distante do metrô.","",
"Angelina001","Italy","Group of friends","8.8","Fabulous","26 June 2014","Staff attitude","","","员工服务态度","","",
"Michael","Germany","Couple","7.5","Good","23 June 2014","Fridge, modern bathroom","no air conditioning","","Kühlschrank, modernes Badezimmer","keine Klimaanlage","",
"Erwin","Germany","Solo traveller","6.7","Pleasant","22 June 2014","S.o.","Safe defekt","","S.o.","Safe defekt","",
"Nils","Denmark","Group of friends","7.9","Good","22 June 2014","Good location, not too close to noisy traffic.
Skilled operator at the front desk.
Fine and not superfluous breakfast.","Some days the rooms were cleaned very late, between 16 and 17, not good if you are in the room at that time.","","God beliggenhed og ikke for tæt på larmende trafik.
Dygtig betjening i receptionen.
Fin og ikke for overflødig morgenmad.","Enkelte dage blev værelserne rengjort meget sent, mellem 16 og 17, ikke godt hvis man er på værelset på dette tidspunkt.","",
"Maria","Italy","Group of friends","9.2","Superb","19 June 2014","The hotel is located close to the Tiergarten and the area is very nice and relaxing, convenient bus 200 that connects Potsdam station and the zoo garten.","","","L'hotel è situato vicino al tiegarten e la zona è molto bella e rilassante, ben servita dall'autobus 200 che collega Postdam e la stazione di zoo garten.","","",
"Artem","Russia","Solo traveller","10","Exceptional","18 June 2014","Close to the center, comfortable hotel with friendly staff","","","Близко к центру, уютный отель с приветливым персоналом","","",
"Alina","Russia","Couple","7.9","Good","16 June 2014","location, a small kitchenette in the room, no noise outside the window","enjoyed it","","расположение, маленькая кухонька в номере, отсутствие шума за окном","все понравилось","",
"mip63","Finland","Solo traveller","8.3","Very good","15 June 2014","A neat and stylish single room, which even had a fridge, stove and microwave.
Very friendly and helpful staff.
Bicycle space in the garage.","","","Siisti ja tyylikäs yhden hengen huone, jossa oli jopa jääkaappi, hella ja mikro.
Erittäin ystävällinen ja avulias henkilökunta.
Polkupyörälle paikka autotallissa.","","",
"Michał","Poland","Couple","8.3","Very good","10 June 2014","Great location by the canal of the river Spree, near the Tirgarten. Close to Potsdamer Platz and the Brandenburg Gate. Room with a large refrigerator, microwave and sink. First-wifi. The proximity of the bakery and supersamów.","A little small room, no air conditioning, expensive breakfast","","Świetna lokalizacja nad kanałem Szprewy, tuż przy Tirgarten. Blisko na Plac Poczdamski i pod Bramę Brandenburską. Pokój ze sporą lodówką, mikrofalówką i zlewem. Pierwszorzędne wifi. Bliskość piekarni i supersamów.","Trochę mały pokój, brak klimatyzacji, drogie śniadania","",
"Reinhold","Finland","Family","5","Passable","8 June 2014","","With one exception, really rude receptionist and the staff, the rooms were cleaned how do happen and change the towels did not seem to belong to the service.","","","Yhtä poikkeusta lukuunottamatta todella töykeä respa ja henkilökunta, huoneet siivottiin miten sattuu ja pyyhkeiden vaihtaminen ei tuntunut kuuluvan palveluun.","",
"Alexandre","France","Couple","5.4","Passable","6 June 2014","Cheap no other interest.","Far from public transport. Nothing to eat around or for breakfast.
Breakfast at the hotel = too expensive, equivalent to prices from London to Berlin, you need to calm down on prices !!","","Pas cher pas d'autre intérêt.","Loin des transports. Rien pour manger autour, ni pour prendre le petit déjeuner.
Petits déjeuners à l’hôtel = beaucoup trop chers, équivalents aux prix de Londres à Berlin, il faut se calmer sur les prix !!","",
"IchDieMina","Germany","Solo traveller","8.3","Very good","5 June 2014","Very nice room with attractive furniture and kitchenette.","I always find great if there is a kettle in the room. This, however, was unfortunately totally calcified. It would be better respected. In the bathroom clearly missing a hook for towel and a shelf in the shower would not be bad. The & quot; gripes & quot; in the bathroom, however, are just little things :)","","Sehr schönes Zimmer mit ansprechenden Möbeln und Küchenzeile.","Ich finde immer toll, wenn es einen Wasserkocher auf dem Zimmer gibt. Dieser war allerdings leider total verkalkt. Darauf müsste besser geachtet werden. Im Bad fehlt eindeutig ein Haken für das Handtuch und eine Ablage in der Dusche wäre auch nicht schlecht. Die "Meckereien" im Bad, sind allerdings nur Kleinigkeiten :)","",
"Christian","France","Couple","6.3","Pleasant","4 June 2014","Hearty breakfast. Quiet.","Quality / price perfectible.","","Petit déjeuner copieux. Au calme.","Rapport qualité/prix perfectible.","",
"Poul","Denmark","Group of friends","5","Passable","3 June 2014","Fine Try Torre Del reasonable prices
ok breakfast","We booked three rooms for three nights in early året. and had an expectation of getting allocated rooms on the same floor so that it was possible to finish the day with an overall evaluation. This was not the case two rooms on the 1st floor and one on the 4th floor, and it could not be changed. The bed in the room on the 4th floor was a corner bed so it was nødtil little acrobatics at night-time visits to the toilet and there was only one bed the first night, even though the room was booked as a double room","","Fin belligenhed   rimelige priser
ok morgenmad","Vi bookede 3 værelser til 3 overnatninger tidligt på året.-og havde en forventning om at få tildelt værelser på samme etage således at der var mulighed for at afslutte dagen med en samlet evaluering . Dette blev ikke tilfældet 2 værelser på 1ste etage og et på 4 etage,og det kunne ikke laves om. Sengen i værelset på 4 etage var en hjørneseng så man var nødtil lidt akrobatik ved natlige toiletbesøg,og der var også kun en opredning den første nat,selvom værelset var bestilt som dobbelt værelse","",
"Christian","Germany","Couple","3.8","Poor","3 June 2014","NIX !!!","The toilet could be heard all night at intervals of 30 seconds. The gradient in the bathroom was not true, so that the whole bathroom after showering under water. The room decor and rooms division is reminiscent of a nursing home. The specials wireless network could could only be opened with enormous security risks. Finally my wife was held at checkout for a smuggled into the hotel room of my prostitutes - an absolute impertinence !!!","","NIX!!!","Die Toilettenspülung war die ganze Nacht im Abstand von 30 Sekunden zu hören. Das Gefälle im Badezimmer stimmte nicht, so dass das ganze Bad nach dem Duschen unter Wasser stand. Die Zimmereinrichtung und Zimmeraufteilung erinnert an ein Altenheim. Das angebote W-Lan Netz konnte hätte nur mit enormen Sicherheitsrisiken geöffnet werden können. Zu guter Letzt wurde meine Frau beim Auschecken für eine von mir ins Hotelzimmer geschmuggelte Prostituierte gehalten - eine absolute Unverschämtheit!!!","",
"Maria","Russia","Couple","9.6","Exceptional","2 June 2014","I liked everything! Especially location 7 minutes zoo, 15 minutes -Kudaam, 12 minutes - the Tiergarten. Very nice room, clean and windows overlook the courtyard - always quiet. The room was cleaned every day, and the room has a closet and a convenient kitchenette (dishes must be taken separately for a small fee).We lived there for 8 days, twice cooked and then stored in the refrigerator all :)) were full and it will save much.
The hotel also offers rental of the great and stand with millions of discounts to museums and exhibitions :) Will definitely stay there again!","The rooms do not have a ceiling light, romantic lighting: floor lamps only - it is not very convenient.","","Понравилось все! Особенно месторасположение 7 минут зоопарк, 15 минут -Кудаам, 12 минут - Тиргартен. Очень хороший номер, чистый и окна выходят во двор - всегда тихо. Номер каждый день убирают, также в номере имеется удобный шкаф и мини-кухня(посуду следует брать отдельно за небольшую плату). Мы жили там 8 дней, дважды готовили и потом хранили все в холодильнике:)) были сыты и съэкономили значительно. 
В отеле также есть прокат великов и стенд с миллионом скидок в музеи и на выставки :) С удовольствием остановимся там еще раз!","В комнатах нет верхнего света, романтическое освещение: только торшеры - это не совсем удобно.","",
"Anna","Germany","Solo traveller","7.1","Good","31 May 2014","The location is perfect","Internet does not work in the building. Moved to another room because they took more money","","Месторасположение идеальное","Интернет работает не во всем здании. Переселили в другой номер за что взяли больше денег","",
"Pavel","Germany","Couple","8.8","Fabulous","30 May 2014","Price / performance ratio very good. The room can also use as a holiday (with microwave cooking rings, kettle, fridge and -. Soluble coffee and tea bags included !!! in the price) for all travelers it has a strategic location - Ku'damm is 10 min walk, Tiergarten Park for Jogging is 500 meters, sufficient quantities of cafeterias, restaurants, supermakets in the vicinity. Wi-Fi is running. Parking options
and always to be found on the road between Sa 18:00 to 9:00 Mon free","No Air (west side with lots of sunshine) In the working days parking charges 1 € / hour or parking charges in the annexe. In but one is informed beforehand.","","Preis/Leistung Verhältnis extrem gut. Den Zimmer kann man auch als Ferienwohnung benützen (mit Mikrowelle. Kochmulden, Wasserkocher, Kühlschrank und - lösliches Kaffee und Teebeuteln im Preis inbegriffen!!!) Für alle Reisende hat es eine strategische Lage - Ku´damm ist 10 Min zu Fuß, Tiergartenpark für Jogging ist 500 m entfernt, ausreichende Mengen von Cafeterias, Restaurants, Supermakets in dem Nähe. WLAN läuft. Parkingmöglichkeiten 
auf der Straße zwischen Sa 18:00 bis Mo 9:00 kostenfrei und immer zu finden","Keine Klima (Westseite mit vielen Sonnenschein) In den Arbeitstagen Parkgebühren 1 Euro/Std oder Parkhaus gegen Gebühren in der Nebengebäude. Darüber ist man aber vorher informiert.","",
"Daniela","Brazil","Couple","6.3","Pleasant","27 May 2014","Nice reception. Very good localization.","","","Recepcao agradavel. Muito boa localizacao.","","",
"Marijke","Germany","Family","9.2","Superb","25 May 2014","The hotel is ideally located to almost all Sehenswürdigkeiten.Zoo 10 min. Fußweg.Bootsanleger 2 min. from the hotel (3h. boat tour) buses and trains quickly erreichen.Kann I really recommend it.","","","Das Hotel liegt äußerst günstig zu fast allen Sehenswürdigkeiten.Zoo 10 min. Fußweg.Bootsanleger 2 min. vom Hotel (3Std. Bootstour)Busse und Bahnen schnell zu erreichen.Kann ich wirklich nur empfehlen.","","",
"Janaina","Brazil","Couple","9.6","Exceptional","25 May 2014","Care. Comfort. Cost-Benefit.","","","Atendimento. Conforto. Custo-Benefício.","","",
"Caecil","Netherlands","Couple","7.5","Good","25 May 2014","Location at reasonable walking distance of KaDeWe. Small but fine room. Friendly staff.","The bed I found clumsy. Stood with the long side against the wall. Feels a bit petty. And two duvets on a bed of 140 wide was too much
The breakfast would have been good if everything would be supplemented. Faster","","Ligging op redelijke loopafstand van het KaDeWe. Kleine, maar prima kamer. Vriendelijk personeel.","Het bed vond ik wat onhandig. Stond met de lange zijde tegen de muur. Voelt wat bekrompen. En twee dekbedden op een bed van 140 breed was te veel 
Het ontbijt zou goed geweest zijn als alles sneller aangevuld zou zijn.","",
