"Name","Country","Traveler Type","Score","Score Explanation","Date","Pros","Cons","Response"
"Sarah","Germany","Couple","2.5","Very poor","14 September 2014","None","Bett zu klein für 2 Personen.
Keine Rezeption vorhanden.
Wasserkocher da, allerdings kein Tee, Kaffee, Milch oder Zucker, ausserdem verkalkt und alt.
Schlechter TV Empfang. 
Zu dünne Wände,  Nachbar sehr gut gehört. 
Hundeplatz vor dem Fenster. 
Möbel alt und abgenutzt. 
Teppichboden befleckt. 
....","",
"Roland","Germany","Family","8.8","Fabulous","14 September 2014","","mir ist bei der Bewertung nicht aufgefallen, dass in einem Doppelzimmer nur ein Bett 1,4x2 m steht","",
"Thomas","Germany","Couple","6.7","Pleasant","10 September 2014","","bei einem Doppelzimmer sollten
2 Stühle vorhanden sein!","",
"Yuying","China","Solo traveller","7.5","Good","10 September 2014","安静、卫生","","",
"Jordi","Spain","Group of friends","5.8","Okay","8 September 2014","Ubicacion","La wifi estropeada durante 2 dias y nadie daba respuestas. Habitacion que parece de hospital. Venden que hay cocina pero no esta equipada. El personal que atiende la recepcion NO es el adecuado.","",
"Maria","Spain","Couple","7.1","Good","7 September 2014","Cama muy comoda.","Que haya q pagar por utensilios cocina.","",
"Olga","Russia","Solo traveller","8.8","Fabulous","6 September 2014","Понравился хороший персонал, даже немного говорят по русски, очень приветливы и идут на встречу.","Есть кухня, но ни ножей, ни вилок, ни тарелок. Вай фай работал оч плохо, стояла у двери чтоб ловил из коридора, жесткая кровать.","",
"Ludger","Germany","Solo traveller","7.5","Good","5 September 2014","Nähe U Wittenbergplatz, Busshalte 100/200 ganz in der Nähe. Ruhige Lage besonders an der Rückseite, gut und funktionell eingerichtetes Ap.,Flachbildfernseher, Kühlschrank, 2 Kochstellen, Wasserkocher, kostenlos Kaffee/Tee.Personal an der Rezeption kompetent und hilfsbereit, wohl mit der nötigen Distanz.","Töpfe/Geschirr extra für 5,-- €/Tag. Frühstück mit 11,50 € für die Auswahl zu teuer. Längere Wartezeiten in der 7. Etage auf den Aufzug.","",
"Dieter","Germany","Group of friends","7.5","Good","4 September 2014","Lage und Preis- Leistungsverhältnis","Quietschende Lift-Türe,
laut polternde Türschließer der Zimmertüren,
defekter Zimmersafe","",
"Joao","Brazil","Couple","9.2","Superb","4 September 2014","Tem uma bela localização, próximo a locais turísticos e próximo ao metro de Berlim.","Nada.","",
"Lukas","Canada","Couple","8.3","Very good","3 September 2014","sehr nettes Personal,
ruhige, relativ zentrale Lage
bequeme Betten","etwas weiter Weg zur U-Bahn Station","",
"Frank","Germany","Solo traveller","6.3","Pleasant","2 September 2014","zimmerausstattung war ok. das personal ist sehr nett .die hotellage in mitte war für mich optimal.","das  frühstücksangebot fand ich nicht dem preis angemessen.für 11,50 habe ich eigentlich auch noch eine lachs -und bratenplatte und abwechslung erwartet. der  safe war nicht benutzbar.eine flasche wasser bei 4 übernachtung gratis war sehr sparsam..","",
"Antimo","Italy","Couple","9.6","Exceptional","2 September 2014","L'Hotel Lutzow è posizionato a soli 800 metri dal famosissimo Zoo di Berlino e a soli 200 metri dalla fermata dell'Autobus "Corneliusbrucke", che unisce i punti più "turistici" della città. La struttura è moderna e pulita, così come la camera in cui ho soggiornato, che, sebbene non grandissima, offriva tutti i comfort, compresa una piccola cucina dove potersi liberamente preparare un tè o un caffè. Anche il bagno in camera era confortevole ma non grandissimo. Consiglierei questo albergo a chiunque abbia in programma un viaggio nella capitale Tedesca, che offre ad un prezzo vantaggioso tutti i comfort ed una posizione decisamente strategica.","Nulla da segnalare","",
"Ricardo","Brazil","Group of friends","7.1","Good","2 September 2014","Localização e  relação custo benefício. Irei recomendar para  amigos que vierem a Berlim. Pessoal da  recepção bem prestativos.","Cozinha  sem utensílios para utilização. Se  usar tem que pagar a parte. O  minimo  de louças e talheres deveriam disponibilizar.","",
"Paolo","Italy","Couple","7.5","Good","30 August 2014","buona posizione, camera pulita, piccola ma gradevole","","",
"Miho","France","Solo traveller","5","Passable","28 August 2014","このホテルは tiergarten とSchonebourg 地区の間にありmitteではないから気をつけて。 zoologischer garden から歩いて13分程度で交通の便は良い方。","古い旅館の匂いがするし 音漏れがかなりあるので 静かな所でしか寝れない人は要注意。wifiもつながりにくく切れる度パスワードを入れなければならないの- で古いネットのシステムを使っているのだと思います。","",
"Boris","Russia","Couple","10","Exceptional","24 August 2014","Наличие кухни, хорошее расположение","","",
"Emiliano","Italy","Family","10","Exceptional","24 August 2014","La pulizia, la velocità del wifi, disponibilità dello staff, accoglienza, il parcheggio di fronte all'hotel (anche se a pagamento), la posizione tranquilla...","","",
"Ilya","Russia","Couple","10","Exceptional","21 August 2014","В Берлине сложно нарваться на плохой отель, и этот является отличным тому подтверждением. Прекрасно ловил интернет, очень тихо - спалось чудесно. К тому же в номере есть чайник - всегда можно выпить с утра чай или кофе. До метро идти минут 7-10 пешком. Прямо при отеле есть прокат велосипедов - 12 евро в сутки - отличный способ увидеть весь Берлин. За два дня обкатали весь город.
В целом отелем и номером остались крайне довольны.","","",
"Elisabetta","Germany","Couple","9.2","Consigliatissimo","19 August 2014","Assolutamente nulla di cui lamentarsi: posizione centrale (10 minuti a piedi da Wittenbergplatz), camera piccolina ma ben arredata, pulita e fornita di tutto (compresa mini-cucina con possibilità di affittare il necessario per cucinare), colazione continentale forse un po' cara (9€) ma di ottima qualità e con discreta scelta, ricezione wi-fi perfetta.","Se proprio si vuole trovare un difetto, gli scuri alla finestra non erano molto efficaci, e fin dal mattino presto la camera era invasa dalla luce.","",
"Samar","Saudi Arabia","Solo traveller","6.7","يؤدي الغرض","19 August 2014","","الجو الحار لعدم وجود تكييف 
الغرف والممرات ضيقة","",
"Daniela","Italy","Couple","8.3","Very good","19 August 2014","Buona posizione, pulizia e colazione","","",
"Edenir","Italy","Couple","9.6","VERAMENTE CONSIGLIATO","19 August 2014","SE PENSIAMO A QUANTO ABBIAMO PAGATO DIREI CHE HA SUPERATO GRANDEMENTE LE NOSTRE ASPETTATIVE IN TUTTO!","I CUSCINI SONO UN PO SCOMODI....
MA NON PERDE PUNTI PER QUESTO!!!","",
"Andrey","Kazakhstan","Group of friends","10","тихий уютный отель недалеко от центра","18 August 2014","Расположение в тихом районе в самом центре. Вежливый персонал. Уютный отель. В пешей близости все магазины для шоппинга, бары и кафе на любо вкус и кошелек, продуктовые магазины, станция метро.","","",
"Jie","Germany","Couple","7.5","还会再住","17 August 2014","都很好","房间有点小","",
"Platter","Italy","Couple","7.1","Super Lage","17 August 2014","Ruhe...Lage..Anbindung an offentliche Verkehrsmittel","keine Klima...","",
"Kirsten","Denmark","Couple","10","Roligt hotel i gode omgivelser","13 August 2014","Fantastisk belligenhed let til bus og U bahn. Roligt område ingen trafikstøj, Venligt og imødekommende personale. Kan klart anbefales. Både til unge og ældre","WiFi dækningen ikke lige god på alle værelser","",
"Emilia","Italy","Couple","8.3","Very good","13 August 2014","Hotel pulitissimo, stanze non grandi ma confortevoli, posizione non vicinissima alla metro ma vicina a tram e bus. Staff gentile e disponibile!","Il wifi funzionava a singhiozzo!","",
"Lothar","Germany","Family","8.8","Fabulous","12 August 2014","Sehr ruhiges Zimmer in guter Lage.","Zimmer Richtung Hinterhof. Sehr warm trotz abendlicher Abkühlung. Klimaanlage wäre vorteilhaft.","",
"Valentyn","Ukraine","Solo traveller","6.3","Pleasant","11 August 2014","Завтрак и свой паркинг.","Расположение в жилом квартале.","",
"Joaquim","Spain","Couple","8.8","Una agradable estada.","8 August 2014","Excel.lent ubicacio, comunicacio i tranquil-litat del barri. La recepcio molt atenta i agradable.","Habitacio massa petita.","",
"Aleksei","Russia","Couple","7.1","Good","7 August 2014","","Отсутствие кондиционера в номере, непонятная ситуация с парковкой","",
"Elena","Russia","Couple","6.3","скромный отель","5 August 2014","В двух кварталах продовольственный магазин Кайзер 24часа. недалеко КаДэВэ и главная торговая улица, рядом зоопарк, завтрак двух видов континентальный за 9евро, и полный -11,5евро.","Не понравилось отсутствие собственного паркинга, на ресепшен сказали, что гараж под отелем 19 евро в сутки, а на деле 16, возможно на улице за 11 евро, но автомат по оплате за парковку не берет банковскую карту, только монеты, без оплаты стоянки штраф, посуда две тарелки и две вилки с ножом, сковородка и ковш за 20 евро за неделю.","",
"Cecília","Brazil","Couple","6.7","Razoável","1 August 2014","A rua é bem tranquila e as linhas de ônibus que passam na maior parte das atrações turísticas (100 e 200) têm ponto próximo. A recepcionista da tarde (Patrícia) foi extremamente simpática e prestativa.","A cama não é grande e uma lateral fica encostada na parede, quando a afastei um pouco para poder ter acesso, havia muita poeira sob a cama. Os quartos não têm ar condicionado e fazia muito calor, com o sol batendo no quarto até às 21h. O banheiro é pequeno, mas limpo.","",
"Ditte","Denmark","Couple","7.5","God oplevelse","29 July 2014","God beliggenhed tæt på u station og bus. Dejlig med rygerværelser. Dejligt med mini køkken. Rimelig pris.","Har ikke noget dårligt at siger :-)","",
"Joanna","Poland","Family","9.6","Exceptional","24 July 2014","Przyjazny, anglojęzyczny personel, świetna lokalizacja, brak problemu z miejscem parkingowym przy ulicy (dodam, że opłata za parking to 0,25EUR za 15 min., czyli na dobę wychodzi 11 EUR, bo płaci się od 9:00 do 20:00, bez niedziel), mini aneks kuchenny (lodówka, czajnik i płyta grzewcza na jeden palnik; z tym, że za wypożyczenie naczyń faktycznie się płaci, chociaż jakieś podstawowe rzeczy można zabrać ze sobą, zwłaszcza jeśli jedzie się samochodem), łazienka mała, ale czysta, jest suszarka i w ogóle ok.
Bardzo blisko do Zoo!
Na temat śniadań nie mogę się wypowiedzieć - nie korzystaliśmy.","Brak klimatyzacji w pokoju. Trafiliśmy na lipcowe upały i w nocy w pokoju było 30C stopni...","",
"Tamara","Spain","Group of friends","8.8","Muy buen hotel","20 July 2014","Bien situado, buena hhabitación","Todo ok","",
"Elisa","Italy","Couple","8.3","Ottima soluzione!","19 July 2014","È situato in una zona tranquilla, ma ben collegato con i punti di interesse della città. Lo staff è sempre disponibile e cordiale. Le camere sono nella norma.","Purtroppo il letto non era molto comodo (commento soggettivo) e abbiamo avuto difficoltà con la connessione wifi.","",
"Damian","Poland","Couple","9.2","Superb","19 July 2014","Polecam, czysty hotel, dobra lokalizacja, wygodny, duza lodowka, czajnik, mikrofalowka, wszystko super!","","",
"Thomas_Anderl","Germany","Solo traveller","7.9","Good","16 July 2014","Tee und Kaffee tagsüber, Lage, Freundlichkeit der Rezeptionisten und des Managements","seltene Zimmerreinigung","",
"Gabriele","Germany","Couple","8.3","hat alles gut geklappt","16 July 2014","Freundlichkeit","","",
"niczegoniezalowac","Poland","Couple","9.2","Tani, dobry hotel","14 July 2014","Baliśmy się rezerwować hotel w tej cenie, obawialiśmy się słabych warunków, ale hotel baaardzo pozytywnie nas zaskoczył! Czyste, nieduże pokoje, w świetnym miejscu, bardzo blisko KaDeWe. 
Przy hotelu jest dostępnych wiele miejsc parkingowych, więc nie przeszkadza to, że hotel nie ma swojego parkingu, cena około 15euro za dobę, niedziela bezpłatnie.","Brak","",
"Anton","Russia","Solo traveller","7.5","Good","14 July 2014","Наличие кухни в номере","Нет тапочек в номере. Отсутствует балкон. Слабое освещение номера. Высокая слышимость. Нет москитных сеток на окнах. Душно.","",
"Elin","Sweden","Couple","7.9","Good","13 July 2014","Clean room","","",
"Francisco","Spain","Couple","7.5","Buena relación claidad precio","13 July 2014","Es sencillo pero limpio, muy agradable y muy bien situado.","","",
"Daniela","Colombia","Solo traveller","9.2","Superb","11 July 2014","Las habitaciones son excelentes, muy comodas, el baño siempre esta limpio, tiene nevera y una pequeña cocina muy util, el desayuno es rico, la ubicacion es muy central, queda cerca del centro de berlin","Nada, todo muy bueno","",
"Andrey","Russia","Couple","9.2","умное предложение","10 July 2014","парковка под крышей и вход в отель,
расположение","отсутствие кондиционера
миникухня есть, а посуды нет","",
"Concepcion","Spain","Couple","7.5","Good","9 July 2014","El hotel es muy correcto. 
La atención de Patricia, hablaba español, nos facilitaba las informaciones sobre ubicación y transporte.","Un poco incomodas las almohadas
problemas con la conexión wifi","",
"Igor","Russia","Couple","8","Very good","8 July 2014","Отличное расположение, относительно всех достопримечательностей.","Номер располагался на 3 этаже, температура за окном +28 - кондиционер отсутствовал! Но это не станет причиной, не выбрать этот отель снова.","",
"Peter","Germany","Solo traveller","7.1","Good","2 July 2014","Gute Lage; freundliches Personal","das Frühstück und der dafür ausgestattete Raum","",
"Johannes","Netherlands","Family","8.3","Very good","1 July 2014","Prijs/kwaliteit, ligging, keukentje","Smal bed voor 2 personen, ca 1,1m...","",
"Alberto","Italy","Couple","10","Exceptional","1 July 2014","Ottima posizione vicina ai trasporti pubblici, staff gentilissimo e disponibilissimo, camera pulita ogni giorno , zona silenziosa . tutto okk","Tutto perfetto!:)","",
"Ole","Denmark","Solo traveller","7.1","Good","1 July 2014","Venligt personale.
Rolig Atmosfære.
Dejligt blandet gæsteklientel, rart med unge mennesker.
Dejligt med mulighed for udendørsspisning.","Madrassen var desværre for blød for min ryg.
Jeg har været vant til hårdere madrasser på andre hoteller.","",
"Vicente","Brazil","Couple","7.5","Good","30 June 2014","Do staff muito atencioso.","O hotel aparece como estando no bairro de Mitte (o que procurávamos).
Um pouco distante do metrô.","",
"Angelina001","Italy","Group of friends","8.8","Fabulous","26 June 2014","员工服务态度","","",
"Michael","Germany","Couple","7.5","Good","23 June 2014","Kühlschrank, modernes Badezimmer","keine Klimaanlage","",
"Erwin","Germany","Solo traveller","6.7","Pleasant","22 June 2014","S.o.","Safe defekt","",
"Nils","Denmark","Group of friends","7.9","Good","22 June 2014","God beliggenhed og ikke for tæt på larmende trafik.
Dygtig betjening i receptionen.
Fin og ikke for overflødig morgenmad.","Enkelte dage blev værelserne rengjort meget sent, mellem 16 og 17, ikke godt hvis man er på værelset på dette tidspunkt.","",
"Maria","Italy","Group of friends","9.2","Superb","19 June 2014","L'hotel è situato vicino al tiegarten e la zona è molto bella e rilassante, ben servita dall'autobus 200 che collega Postdam e la stazione di zoo garten.","","",
"Artem","Russia","Solo traveller","10","Exceptional","18 June 2014","Близко к центру, уютный отель с приветливым персоналом","","",
"Alina","Russia","Couple","7.9","Good","16 June 2014","расположение, маленькая кухонька в номере, отсутствие шума за окном","все понравилось","",
"mip63","Finland","Solo traveller","8.3","Very good","15 June 2014","Siisti ja tyylikäs yhden hengen huone, jossa oli jopa jääkaappi, hella ja mikro.
Erittäin ystävällinen ja avulias henkilökunta.
Polkupyörälle paikka autotallissa.","","",
"Michał","Poland","Couple","8.3","Very good","10 June 2014","Świetna lokalizacja nad kanałem Szprewy, tuż przy Tirgarten. Blisko na Plac Poczdamski i pod Bramę Brandenburską. Pokój ze sporą lodówką, mikrofalówką i zlewem. Pierwszorzędne wifi. Bliskość piekarni i supersamów.","Trochę mały pokój, brak klimatyzacji, drogie śniadania","",
"Reinhold","Finland","Family","5","Passable","8 June 2014","","Yhtä poikkeusta lukuunottamatta todella töykeä respa ja henkilökunta, huoneet siivottiin miten sattuu ja pyyhkeiden vaihtaminen ei tuntunut kuuluvan palveluun.","",
"Alexandre","France","Couple","5.4","Passable","6 June 2014","Pas cher pas d'autre intérêt.","Loin des transports. Rien pour manger autour, ni pour prendre le petit déjeuner.
Petits déjeuners à l’hôtel = beaucoup trop chers, équivalents aux prix de Londres à Berlin, il faut se calmer sur les prix !!","",
"IchDieMina","Germany","Solo traveller","8.3","Very good","5 June 2014","Sehr schönes Zimmer mit ansprechenden Möbeln und Küchenzeile.","Ich finde immer toll, wenn es einen Wasserkocher auf dem Zimmer gibt. Dieser war allerdings leider total verkalkt. Darauf müsste besser geachtet werden. Im Bad fehlt eindeutig ein Haken für das Handtuch und eine Ablage in der Dusche wäre auch nicht schlecht. Die "Meckereien" im Bad, sind allerdings nur Kleinigkeiten :)","",
"Christian","France","Couple","6.3","Pleasant","4 June 2014","Petit déjeuner copieux. Au calme.","Rapport qualité/prix perfectible.","",
"Poul","Denmark","Group of friends","5","Passable","3 June 2014","Fin belligenhed   rimelige priser
ok morgenmad","Vi bookede 3 værelser til 3 overnatninger tidligt på året.-og havde en forventning om at få tildelt værelser på samme etage således at der var mulighed for at afslutte dagen med en samlet evaluering . Dette blev ikke tilfældet 2 værelser på 1ste etage og et på 4 etage,og det kunne ikke laves om. Sengen i værelset på 4 etage var en hjørneseng så man var nødtil lidt akrobatik ved natlige toiletbesøg,og der var også kun en opredning den første nat,selvom værelset var bestilt som dobbelt værelse","",
"Christian","Germany","Couple","3.8","Poor","3 June 2014","NIX!!!","Die Toilettenspülung war die ganze Nacht im Abstand von 30 Sekunden zu hören. Das Gefälle im Badezimmer stimmte nicht, so dass das ganze Bad nach dem Duschen unter Wasser stand. Die Zimmereinrichtung und Zimmeraufteilung erinnert an ein Altenheim. Das angebote W-Lan Netz konnte hätte nur mit enormen Sicherheitsrisiken geöffnet werden können. Zu guter Letzt wurde meine Frau beim Auschecken für eine von mir ins Hotelzimmer geschmuggelte Prostituierte gehalten - eine absolute Unverschämtheit!!!","",
"Maria","Russia","Couple","9.6","Exceptional","2 June 2014","Понравилось все! Особенно месторасположение 7 минут зоопарк, 15 минут -Кудаам, 12 минут - Тиргартен. Очень хороший номер, чистый и окна выходят во двор - всегда тихо. Номер каждый день убирают, также в номере имеется удобный шкаф и мини-кухня(посуду следует брать отдельно за небольшую плату). Мы жили там 8 дней, дважды готовили и потом хранили все в холодильнике:)) были сыты и съэкономили значительно. 
В отеле также есть прокат великов и стенд с миллионом скидок в музеи и на выставки :) С удовольствием остановимся там еще раз!","В комнатах нет верхнего света, романтическое освещение: только торшеры - это не совсем удобно.","",
"Anna","Germany","Solo traveller","7.1","Good","31 May 2014","Месторасположение идеальное","Интернет работает не во всем здании. Переселили в другой номер за что взяли больше денег","",
"Pavel","Germany","Couple","8.8","Fabulous","30 May 2014","Preis/Leistung Verhältnis extrem gut. Den Zimmer kann man auch als Ferienwohnung benützen (mit Mikrowelle. Kochmulden, Wasserkocher, Kühlschrank und - lösliches Kaffee und Teebeuteln im Preis inbegriffen!!!) Für alle Reisende hat es eine strategische Lage - Ku´damm ist 10 Min zu Fuß, Tiergartenpark für Jogging ist 500 m entfernt, ausreichende Mengen von Cafeterias, Restaurants, Supermakets in dem Nähe. WLAN läuft. Parkingmöglichkeiten 
auf der Straße zwischen Sa 18:00 bis Mo 9:00 kostenfrei und immer zu finden","Keine Klima (Westseite mit vielen Sonnenschein) In den Arbeitstagen Parkgebühren 1 Euro/Std oder Parkhaus gegen Gebühren in der Nebengebäude. Darüber ist man aber vorher informiert.","",
"Daniela","Brazil","Couple","6.3","Pleasant","27 May 2014","Recepcao agradavel. Muito boa localizacao.","","",
"Marijke","Germany","Family","9.2","Superb","25 May 2014","Das Hotel liegt äußerst günstig zu fast allen Sehenswürdigkeiten.Zoo 10 min. Fußweg.Bootsanleger 2 min. vom Hotel (3Std. Bootstour)Busse und Bahnen schnell zu erreichen.Kann ich wirklich nur empfehlen.","","",
"Janaina","Brazil","Couple","9.6","Exceptional","25 May 2014","Atendimento. Conforto. Custo-Benefício.","","",
"Caecil","Netherlands","Couple","7.5","Good","25 May 2014","Ligging op redelijke loopafstand van het KaDeWe. Kleine, maar prima kamer. Vriendelijk personeel.","Het bed vond ik wat onhandig. Stond met de lange zijde tegen de muur. Voelt wat bekrompen. En twee dekbedden op een bed van 140 breed was te veel 
Het ontbijt zou goed geweest zijn als alles sneller aangevuld zou zijn.","",
"Zinovia","Germany","Solo traveller","5","Passable","25 May 2014","Die Nähe zum Zoo und Tiergarten, sowie zum Ku'damm.","Zimmer war bei Ankunft nicht gesaugt, die nette Dame von der Rezeption hat sich allerdings sofort drum gekümmert. 
Frühstück, für den Preis eher nicht so..da ich geschäftlich viel reise, hab ich viele Vergleiche und bin für den Preis, auch in Berlin, anderes gewohnt. Zimmer sehr hellhörig. An sich war soweit alles okay, allerdings werd ich mir fürs nächste mal was anderes suchen.","",
"Mirtes","Brazil","Group of friends","7.5","Good","22 May 2014","Acomodações
Localização
Atendimento","wifi","",
"Silvia","Germany","Solo traveller","6.3","Pleasant","22 May 2014","Lage des Hotels sehr ruhig, aber KaDeWe/ U-Wittenbergplatz und U-Nollendorfplatz in 5 bzw. 8 Min. zu Fuß erreichbar. Zimmer einfach aber zweckmäßig eingerichtet.","Die im Prospekt gezeigte Kaffeemaschine fehlte leider und musste von mir extra gekauft werden.  Schade !","Sehr geehrte Silvia,
vielen Dank das Sie sich die Zeit genommen haben um das Hotel Lützow Berlin zu bewerten. Wir freuen uns, dass es Ihnen bei uns im Haus gefallen hat. Wie Sie vielleicht gesehen haben, bieten wir nun anstatt einer Kaffeemaschine in jedem Gästezimmer einen Wasserkocher mit kostenfreiem Tee und Kaffee für alle unsere Gäste an.
Wir würden uns freuen Sie bald wieder in unserem Haus begrüßen zu dürfen.
Ihr Hotel Lützow Team",
"Christina","Sweden","Group of friends","9.6","Exceptional","20 May 2014","Bra läge, trevligt och lugnt område, rent och fräscht, bra frukost och tillmötesgående personal","Lite dålig belysning på gatan på kvällen","",
"Roman","Russia","Couple","9.6","Exceptional","18 May 2014","Расположение превосходное! Тихий, уютный, ощущение домашнего уюта, несмотря на небольшую площадь номеров.","Ранняя уборка номеров. Если не оставить чаевых уборщица, то постельное бельё и полотенца не поменяют.","",
"Marcia","Brazil","Solo traveller","7.5","Good","14 May 2014","Localização muito boa, rua tranquila, perto da estação de trem e ônibus e de um bom comércio com lojas de marca e muitas opções de compras.","","",
"Joao","Czech Republic","Couple","7.5","Good","14 May 2014","Recepicionista","Apenas um elevador","",
"Albertus","Netherlands","Group of friends","7.9","Good","14 May 2014","De ligging van het hotel.","Informatie over hoe en waar wij konden parkeren.","",
"Anna","Russia","Solo traveller","5","Passable","13 May 2014","","In Lutzow, they’ve got a framed printout at the reception stating the
hotel scored eight stars at this site. They should take it off.
1) If shower (a hose plus hole in a floor) was turned on longer than for 60 seconds the water annexed the floor up to the toilet faster than Russia annexed Crimea. 
2) General tackiness. There was limescale floating in a kettle. Fridge was so smelly I felt disgusted to put a bottle of beer in it. 
3) The evilest of evils: no wifi. They kept promising to call a technician. I stayed for a week, nobody ever came, wifi wasn’t fixed.
4) They did fix a thing I didn’t ask for. One day I was sitting in my room, drinking warm beer (see 2) and contemplating my poor hotel choices when someone knocked. Then immediately, not waiting for my response, this someone opened the door with their key, walked in and started installing window blinds. 
In summation, don’t. In this limbo of three-stars hotels there are different levels of rationing. Lutwoz takes cheapest turn at every bifurcation. The location isn’t great either, unless you are really keen on zoos.","",
"Volker","Germany","Solo traveller","7.5","Good","8 May 2014","ruhiges Zimmer zur Hausrückseite hin","","",
"Andrey","Russia","Group of friends","9.6","Exceptional","7 May 2014","1. Отличное местоположение, рядом с парком Тиргартен.
2. Номера чистые, не тесные. Кровати шикарные, спал как ребенок ;-)).
3. Про завтрак не скажу чтоб совсем скудный, но наедался вполне себе нормально, поэтому и не пишу в минусы.
4. Более 100 каналов ТВ, есть даже 3-и российских (вести24, Шансон ТВ, и ещё какой-то, не запомнил).
5. Ресепшен работает круглосуточно, персонал приветливый, отзывчивый. Номер убирали ежедневно.
6. В номере были: холодильник, СВЧ-печь, электроплитка, сейф, чай, кофе, бутылка минеральной воды.","Из минусов скажу только про wi-fi: в номере ловился не очень. При чем у меня комната была дальше по коридору - ловил, у друзей ближе к роутеру (висел в коридоре) - совсем не ловил.","",
"Enrico","Italy","Couple","7.9","Good","5 May 2014","La posizione strategica, l'assenza di rumori e l'autonomia, era come essere in una casa, molto carino.Lo consiglierò","","",
"Maxim","Belarus","Group of friends","9.6","Exceptional","3 May 2014","Удобное месторасположение - рядом метро, линия 100 автобуса, КаДеВе, Зоопарк, продуктовые магазины (включая Лидл) - в общем, всё рядом ;)
В номерах достаточно места, есть плита, микроволновка, холодильник, чайник, чашки, ложки. Предлагается бесплатные кофе, чай, бутылка минеральной воды.
Персонал приветливый. Сумки без проблем можно оставить как утром до заезда, так после выезда до самого вечера. Линия метро напрямую ведёт к автовокзалу (ZOB).
Вай-фай 100% грузил самые большие файлы.
В отеле (как и в самой районе) тишина и спокойствие.
В общем, всё понравилось. Будем ещё здесь останавливаться.","Цена на завтрак - мы его не брали, т.к. можно всё компенсировать миникухней","",
"Roman","Poland","Couple","8.8","Fabulous","1 May 2014","Idealna lokalizacja - kilka minut do Tiergarten oraz do stacji metra Wittenbergplatz. Pokoje hotelowe są dobrze wyposażone – profesjonalne hotelowe meble, zasłony (nieprzepuszczające światło), także są kosmetyki (żel-szampon oraz lotion do ciała) oraz profesjonalna sucharka do włosów. Jedyne zastrzeżenie – czystość: w niektórych miejscach jest kurz.","","",
"Nina","Russia","Couple","8.8","Fabulous","30 April 2014","Хороший отель с ремонтом. Парковка в самом отеле 20 евро за сутки, перед отелем городская парковка с паркоматом 1 евро в час. Платная эта парковка только с 9 утра и до 8 вечера, но платить надо в паркомат только лишь монетами. Расположение отеля отличное, в 10 минутах ходьбы зоопарк, магазин продуктовый, торговые центы и крупная станция метро.","Наличие плиты,микроволновки в номере, но отсутствие кухонной утвари. Плохой сигнал вай фай, ловит только в коридоре отеля.","",
"DimkaS","Russia","Couple","6.7","Pleasant","26 April 2014","Удобно расположен рядом с парком и недалеко от зоопарка.
Быстрый WiFi, но нужно вводить пароль при каждом подключении.","Посуда отдельно за 5 евро в день (20 за неделю). Оказалось неприятным сюрпризом.
Тесный номер, узкая кровать, вдвоём неудобно.","",
"Klaus-peter","Germany","Family","6.7","Pleasant","24 April 2014","Extrem günstige Lage, gutes Preis-/Leistungsverhältnis","","",
"Liliana","Italy","Group of friends","7.5","Good","23 April 2014","Ottimo rapporto qualità - prezzo","","",
"Carolina","Spain","Couple","6.7","Pleasant","20 April 2014","Habitacion agradable,cama cómoda con nordicos individuales,pequeña cocina por si te interesa comer alli,café gratis,wifi...
Hay una recepcionista española x lo que lo del idioma no es problema...","Lo único malo q esta un poco lejos de Alexander Platz aunque bien comunicado y la limpieza en algunas zonas superficial","",
"Linda","Italy","Couple","7.9","Good","20 April 2014","posizione - pulizia - mini appartamento. praticamente perfetto","nulla","",
"Masaki","Japan","Couple","6.3","Pleasant","16 April 2014","静かなで綺麗な環境でのんびりでき、比較的ｕバーンやスーパー、kadewaなどにもアクセスが良かったです。wi-fiも無料だったのも◎。","","",
"Rita","Italy","Solo traveller","7.1","Good","16 April 2014","Il fatto che in ogni stanza c'è il frigo la piastra elettrica e  il bollitore ... Tutto quanto per poter fare uno snack in camera  senza dover uscire per cena o per colazione ...
 Una vera pacchia","","",
"Anna","Germany","Couple","8.3","Very good","16 April 2014","la petite cuisine est très utile,
les oursons sur l'oreiller sont bons!","","",
"Olga","Russia","Family","10","Exceptional","15 April 2014","Удобно расположен, приветливый персонал, вода, тепло, кухня, микроволновка, я была с ребенком 3года мне было удобно","погода","",
"Mika","Germany","Solo traveller","8.3","Very good","13 April 2014","Nette Mitarbeiter und Mitarbeiterinnen, sehr günstig, es hat total gereicht","","",
"Sonnejey","Russia","Solo traveller","10","Exceptional","13 April 2014","Понравилось абсолютно все. Отличное расположение: в 2-х автобусных остановках от Zoo. Рядом остановки автобусов 100 и 200, на которых можно доехать до Музейного острова и АлександерПлатц. Метро минутах в 10 ходьбы, рядом есть продуктовый магазин. Торговая улица Кюрфюрстердамм так же в пешей доступности.
Мне достался номер на 7 этаже, с окнами во внутренний двор, по утром будило пение птиц. Сигнал вай-фай отлично ловился и ноутом, и телефоном. Мебель и сантехника новые, как и ремонт. В номере мини-кухня: холодильник, микроволновка, чайник. Кухонные принадлежности можно взять в аренду за доп.плату. Убирались каждый день, полотенца меняли время от времени, выкидывали мусор. Соседей вообще не видела и не слышала.
Отличный отель, остановилась бы тут еще раз.","На мой вкус слишком мягкая кровать. Нет верхнего света в номере, но зато было 2 настольных лампы и торшер.","",
